SeriesCode,SeriesName,ProductGroupCode,ProductName,URL
29717,RMX VD/R(2024),719705,RMX VD／R ドライバー SPEEDER NX BLACK 50,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000071/0000719705/0000719705_01.jpg
28269,STEALTH PLUS,658939,ステルス プラス ドライバー TENSEI SILVER TM50,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000065/0000658939/0000658939_01.jpg
29961,Qi10 LS,730778,Qi10 LS ドライバー SPEEDER NX BLACK 60,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000073/0000730778/0000730778_01.jpg
27756,LS(2021),643105,LS ドライバー Speeder Evolution for PRGR,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000064/0000643105/0000643105_01.jpg
27316,ONOFF AKA(2020),607616,オノフ 赤 ドライバー SMOOTH KICK MP-520D,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000060/0000607616/0000607616_01.jpg
29077,TSR3(2023),695255,TSR3 ドライバー TENSEI AV BLUE 55,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000069/0000695255/0000695255_01.jpg
29138,XXIO PRIME(2023),689781,ゼクシオ プライム12 ドライバー ゼクシオプライム SP-1200,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000068/0000689781/0000689781_01.jpg
30127,Qi10 MAX LITE,742935,Qi10 MAX LITE ドライバー SPEEDER NX BLUE for TM,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000074/0000742935/0000742935_01.jpg
27204,XXIO X(2020),599171,ゼクシオ エックス ドライバー Miyazaki AX-1,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000059/0000599171/0000599171_01.jpg
31392,ELYTE MINI NIGHT EDITION,792870,エリート MINI ドライバー Night Edition TENSEI GREEN 60 for Callaway,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000079/0000792870/0000792870_01.jpg
29593,ONOFF KURO(2023),714118,オノフ KURO ドライバー ONOFF CBT：624D,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000071/0000714118/0000714118_01.jpg
28354,ST-X220,662826,ST-X220 ドライバー Tour AD GM D,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000066/0000662826/0000662826_01.jpg
28105,XXIO(2022)ﾚｯﾄﾞ,654726,ゼクシオ 12 ドライバー(レッド) MP1200カーボン,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000065/0000654726/0000654726_01.jpg
28383,SUPER egg(2022) 高反発ﾓﾃﾞﾙ,734710,SUPER egg evolution ドライバー SUPER egg evolution 高反発モデル,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000073/0000734710/0000734710_01.jpg
27362,ST200X,605777,ST200X ドライバー 20 MFUSION D,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000060/0000605777/0000605777_01.jpg
28931,SHUTTLE(2022),685498,シャトル ドライバー 光沢仕上げ IMPACT FIT m230(ブルー),https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000068/0000685498/0000685498_01.jpg
27951,B1,649402,B1 ドライバー Tour AD BS-6,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000064/0000649402/0000649402_01.jpg
30597,inpres DRIVE STAR(2025),754233,25 インプレス DRIVE STAR ドライバー ELDIO for Yamaha TM325d,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000075/0000754233/0000754233_01.jpg
29917,PARADYM Ai SMOKEﾄﾘﾌﾟﾙﾀﾞｲﾔ,730196,パラダイム Ai SMOKE トリプルダイヤモンド ドライバー TENSEI 60 for Callaway,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000073/0000730196/0000730196_01.jpg
30071,ST-MAX 230,736484,ST-MAX 230 ドライバー ブラックIPミラー＆ショット仕上げ Tour AD GM D,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000073/0000736484/0000736484_01.jpg
28107,XXIO(2022)ﾎﾞﾙﾄﾞｰ,654732,ゼクシオ 12 ドライバー(ネイビー) MP1200カーボン,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000065/0000654732/0000654732_01.jpg
31220,ELYTE NIGHT EDITION,792868,エリート ドライバー Night Edition VENTUS GREEN 5 for Callaway,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000079/0000792868/0000792868_01.jpg
27143,RMX 120,667782,RMX 120 ドライバー Diamana RF60,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000066/0000667782/0000667782_01.jpg
27153,egg 5500(2019),592259,NEW egg 5500(ゴーゴー)ドライバー エッグオリジナル,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000059/0000592259/0000592259_01.jpg
27154,egg 5500 impact(2019),592261,NEW egg 5500(ゴーゴー)impactドライバー エッグオリジナル impact,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000059/0000592261/0000592261_01.jpg
29145,ST-X230,698012,ST-X230 ドライバー Tour AD GM D,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000069/0000698012/0000698012_01.jpg
28187,BERES BLACK,655648,ベレス BLACK ドライバー ARMRQ MXBK,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000065/0000655648/0000655648_01.jpg
31221,ELYTE X NIGHT EDITION,792869,エリート X ドライバー Night Edition VENTUS GREEN 5 for Callaway,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000079/0000792869/0000792869_01.jpg
30114,UFO by POWER TORNADOAIRBlueD,736478,UFO by POWER TORNADO AIR Blue DD ドライバー ATTAS EZ 370,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000073/0000736478/0000736478_01.jpg
27696,KING RAD SPEED,637362,キング RAD SPEED ドライバー Speeder Evolution for RADSPEED,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000063/0000637362/0000637362_01.jpg
27550,SRIXON ZX7,625104,スリクソン ZX7 ドライバー Diamana ZX 60,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000062/0000625104/0000625104_01.jpg
28325,B-LD,666488,B-LD ドライバー AiR Speeder BS-LD for Wood,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000066/0000666488/0000666488_01.jpg
27701,KING RAD SPEED XB,637370,キング RAD SPEED XB ドライバー Tour AD HD-6,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000063/0000637370/0000637370_01.jpg
27610,XXIO PRIME(2021),635306,ゼクシオ プライム11 ドライバー ゼクシオプライム SP-1100,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000063/0000635306/0000635306_01.jpg
28029,ONOFF KURO(2021),649481,オノフ KURO ドライバー ONOFF CBT 622D,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000064/0000649481/0000649481_01.jpg
27477,RS F5,617141,RS F5 ドライバー Tour AD FOR PRGR,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000061/0000617141/0000617141_01.jpg
29125,Royal EZONE(2023),711135,23 Royal EZONE ドライバー RX-06RE,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000071/0000711135/0000711135_01.jpg
28910,TOUR WORLD TW757 TYPE-D PLUS,683219,ツアーワールド TW757 TYPE-D PLUS ドライバー VIZARD for TW757 45,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000068/0000683219/0000683219_01.jpg
27823,TOUR WORLD GS PROTOTYPE-1,645729,ツアーワールド GS460 PROTOTYPE-1 ドライバー VIZARD FZ-5／6 S,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000064/0000645729/0000645729_01.jpg
29081,STEALTH 2 PLUS,693448,ステルス2 PLUS ドライバー Diamana TM50,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000069/0000693448/0000693448_01.jpg
28797,MAJESTY PRESTIGIO 12,678790,マジェスティ プレステジオ トゥエルブ ドライバー MAJESTY LV750,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000067/0000678790/0000678790_01.jpg
30734,TOUR WORLD TW767,763413,ツアーワールド TW767 ドライバー VIZARD EZ-C,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000076/0000763413/0000763413_01.jpg
27361,ST200,605772,ST200 ドライバー GM-200 D,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000060/0000605772/0000605772_01.jpg
28186,BERES AIZU,655646,ベレス AIZU ドライバー ARMRQ MX 3S,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000065/0000655646/0000655646_01.jpg
27113,G Le2,590278,GLe2 ドライバー ULT240 J,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000059/0000590278/0000590278_01.jpg
28311,EZONE GT 425(2022),662854,EZONE GT 425 ドライバー RK-03GT,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000066/0000662854/0000662854_01.jpg
